trader,portfolio,coin,direction,leverage,entryPrice,currentPrice,entrySize,positionSize,liquidationPrice,priceTarget,stopLoss,baseShortId,baseId,updatedAt,closingPrice,closedAt,fetchedAt
crypto_rocket,Main,BTC,short,31,63491,63309,2,0.0217386246,64728.9526085225,,,QJABeXtj09,3974e0b3-0529-4461-a89b-ae31653e356b,2026-08-17T06:01:06.391Z,63309,2026-08-17T09:32:49.311Z,2026-08-17T09:32:49.311Z
crypto_rocket,Main,ETH,short,20,1905,1898.9,1.9999999999999998,0.0212182446,1961.029411764706,,,UdIV9seSrY,e1c99443-ee3f-4b94-bf46-540b42d1f4a9,2026-08-17T10:44:52.691Z,1898.9,2026-08-17T12:27:16.079Z,2026-08-17T12:27:16.079Z
crypto_rocket,Main,SOL,short,20,75.722,75.4,0.9999167149225198,0.0108149371,77.58117073170732,,,OrUCFjWh0u,690755ac-0ade-48e6-9626-379e6058686b,2026-08-17T10:47:48.145Z,75.4,2026-08-17T12:27:16.079Z,2026-08-17T12:27:16.079Z
crypto_rocket,Main,BTC,short,31,63592,63426,2,0.0215325074,64844.05575467941,,,cXmy794wtW,30d33768-f8f9-4a3e-b7cb-7f418876e51e,2026-08-17T10:44:36.052Z,63426,2026-08-17T13:25:30.929Z,2026-08-17T13:25:30.929Z
crypto_rocket,Main,NIL,short,3,0.050526,0.050011,0.9999485013900529,0.0103029914,0.057801142857142856,,,M9jaNqmuHz,5f371c9a-262b-453e-b9f1-bad1918e8612,2026-08-17T18:54:49.767Z,0.050011,2026-08-17T18:55:38.904Z,2026-08-17T18:55:38.904Z
crypto_rocket,Main,NIL,short,3,0.051522,0.050942,1.0000387747399186,0.0103320467,0.05868799999999999,,,XeX8EEqGv0,5f9d71de-19ef-40a8-b68e-e41a26175629,2026-08-17T19:01:48.715Z,0.050942,2026-08-17T19:03:37.186Z,2026-08-17T19:03:37.186Z
crypto_rocket,Main,NIL,short,3,0.051412,0.05043,2.0001866530588193,0.0211225456,0.05863314285714285,,,RuFaLVdM1F,defec724-2f86-49c4-9e17-7bf093882784,2026-08-17T19:04:17.567Z,0.05043,2026-08-17T19:05:30.935Z,2026-08-17T19:05:30.935Z
crypto_rocket,Main,CASHCAT,short,3,0.11507,0.112965,0.9996939780133207,0.0105166888,0.1315428571428571,,,0zWnL3DKOf,76f9fd6c-200d-4f39-93e0-f000f24501b6,2026-08-17T18:38:29.715Z,0.112965,2026-08-17T19:10:45.786Z,2026-08-17T19:10:45.786Z
crypto_rocket,Main,POL,short,3,0.081718,0.08123,1.000210977708605,0.0101266701,0.09926545454545452,0.078815,,z920T8lmwH,b0aded44-1a32-47c3-9b61-1e971f13bd39,2026-08-17T18:34:39.131Z,0.08123,2026-08-17T19:32:38.866Z,2026-08-17T19:32:38.866Z
crypto_rocket,Main,BTC,short,32,64319.176303178305,64116,0.9999698120935662,0.0109586433,66329.15056265262,63933,,cNwG08577D,0129859f-b335-41c0-96dc-a8e3df8dc2ca,2026-08-17T19:15:05.741Z,64116,2026-08-18T09:27:37.848Z,2026-08-18T09:27:37.848Z
