trader,portfolio,coin,direction,leverage,entryPrice,currentPrice,entrySize,positionSize,liquidationPrice,priceTarget,stopLoss,baseShortId,baseId,updatedAt,closingPrice,closedAt,fetchedAt
crypto_rocket,Casino,HEMI,short,3,0.007443,0.007137,2.499620421868274,0.0280500492,0.008513142857142856,0.007,,pZyZ30fF3P,b37f1aae-b322-489f-8e8e-a50e379dfca3,2026-08-17T18:04:15.716Z,0.007137,2026-08-17T19:39:44.490Z,2026-08-17T19:39:44.490Z
crypto_rocket,Casino,BTC,long,6,60667,68254,10,0.1158447476,50561.66666666667,,,TcrSWUJePF,58bbdd35-f318-45e6-886c-04cbd6b32ccc,2026-06-06T17:19:04.201Z,68254,2026-08-19T15:30:18.612Z,2026-08-19T15:30:18.612Z
crypto_rocket,Casino,XRP,long,8,1.00535,1.0622,9.999291379670078,0.1343674282,0.9021025641025642,,,IzO41C55qD,b4f60aa0-39b1-4eea-bb17-cb2ef81ff612,2026-08-13T12:55:53.926Z,1.0622,2026-08-19T15:30:18.612Z,2026-08-19T15:30:18.612Z
crypto_rocket,Casino,BTC,short,40,68376,68622,9.99857054172107,0.0926609928,69205.97530864197,66300,68600,R1DSivEOg4,73178d1f-449b-4b57-ae8e-f6ccd1c5bcf1,2026-08-19T17:05:45.894Z,68622,2026-08-19T20:09:38.478Z,2026-08-19T20:09:38.478Z
crypto_rocket,Casino,ETH,short,15,2080,2122.4,9.97985579073951,0.0745643783,2174.7450980392155,2000,2125,7JRcKvv7Qy,8cb2e0a6-cf62-40bc-80b0-68a4b6f6d1c3,2026-08-19T17:09:02.176Z,2122.4,2026-08-19T20:27:32.425Z,2026-08-19T20:27:32.425Z
crypto_rocket,Casino,SOL,short,15,81.5,83.344,5.006484068787055,0.0352534831,84.8119674796748,79.3,83.5,6YoJnsu95q,f49de102-9d5c-486b-bcd0-857eb1124f91,2026-08-19T17:10:41.697Z,83.344,2026-08-19T20:51:09.551Z,2026-08-19T20:51:09.551Z
