trader,portfolio,coin,direction,leverage,entryPrice,currentPrice,entrySize,positionSize,liquidationPrice,priceTarget,stopLoss,baseShortId,baseId,updatedAt,fetchedAt
booobsas,$100 ➡️ $1M,SOL,short,10,84.94284334041585,85.982,0.8501102489686132,0.0083850091,91.38394819029284,,,HYr2AXArBg,3f4ac212-efe6-4551-a804-2f71cb15be53,2026-08-20T07:25:41.056Z,2026-08-20T07:48:04.091Z
booobsas,$100 ➡️ $1M,kSHIB,short,10,0.004832,0.004814,0.09999007721402947,0.0010369058,0.005067333333333333,,,PWvJnmmQux,5cffbd57-42bc-429e-bdcd-b34ba9558a23,2026-08-20T07:06:57.084Z,2026-08-20T07:48:04.091Z
booobsas,$100 ➡️ $1M,NEAR,short,10,1.7273337960626962,1.7349,0.24964401161534147,0.0026485682,1.812414797523061,,,UerixYdCG5,4476509f-1ec7-48e3-82f3-aa4cdf9add84,2026-08-20T07:02:31.668Z,2026-08-20T07:48:04.091Z
booobsas,$100 ➡️ $1M,PENGU,short,5,0.00655,0.006546,0.1000015218225318,0.0010033118,0.007145454545454545,,,ZeVCoVAExi,cfbaf98d-8fdb-45f1-838d-eb0bf99f1683,2026-08-20T06:52:01.362Z,2026-08-20T07:48:04.091Z
booobsas,$100 ➡️ $1M,CRV,short,10,0.2672,0.26791,0.09999693196021046,0.000975729,0.27980857142857146,,,5zShno3XZS,3b8dbe27-162f-456a-9dbe-eca06f64ee4d,2026-08-20T06:13:07.627Z,2026-08-20T07:48:04.091Z
booobsas,$100 ➡️ $1M,BTC,short,28,69367,69600,0.10000964178243227,0.0009074133,70955.37918871253,,,uV0X22zKGJ,660d93eb-345b-4ae3-b8a6-f3fb4f85d9bf,2026-08-20T04:42:33.088Z,2026-08-20T07:48:04.091Z
booobsas,$100 ➡️ $1M,AERO,short,3,0.4429625079740066,0.46406,0.3001045709067795,0.0027386097,0.5074112560165083,,,RQa9UREawT,238b8825-4ff1-48df-a2b3-cb8a67b55100,2026-08-20T03:18:58.823Z,2026-08-20T07:48:04.091Z
booobsas,$100 ➡️ $1M,HBAR,short,5,0.0686200888242111,0.071176,0.900042550549185,0.0083177193,0.0749579772290228,,,siQ5Uewi98,0091b319-418f-48a1-b1d8-a296254293bf,2026-08-19T20:31:28.447Z,2026-08-20T07:48:04.091Z
booobsas,$100 ➡️ $1M,WLD,short,10,0.35474611092943636,0.36149,1.8064834484892036,0.018325254,0.3730308214452751,,,LB1xGnD98O,b8aeff1c-6e57-45ad-9882-f5a0319f5d2e,2026-08-19T20:31:10.525Z,2026-08-20T07:48:04.091Z
booobsas,$100 ➡️ $1M,CAKE,short,3,1.5099901364998907,1.6025,2.0060137914814677,0.0200819229,1.732370466193168,,,96aidyuhc7,98f8e0a2-e5b0-473c-a1f7-9d20040cae77,2026-08-19T19:30:26.740Z,2026-08-20T07:48:04.091Z
booobsas,$100 ➡️ $1M,POL,short,5,0.080577,0.08108,0.4999980130210849,0.0052998034,0.0879032727272727,,,OBUAWdtnOa,3a630468-2b7c-43ab-b860-4756e51586fc,2026-08-18T09:18:15.560Z,2026-08-20T07:48:04.091Z
