trader,portfolio,coin,direction,leverage,entryPrice,currentPrice,entrySize,positionSize,liquidationPrice,priceTarget,stopLoss,baseShortId,baseId,updatedAt,closingPrice,closedAt,fetchedAt
booobsas,$100 ➡️ $1M,HEMI,short,3,0.00894876492470371,0.008836,1.0000264817328508,0.0122095512,0.01027625670989456,,,PCWz3QXfSh,bee1e6aa-3a63-466b-ad61-a95ee97117a2,2026-08-19T12:11:50.454Z,0.008836,2026-08-19T14:18:28.759Z,2026-08-19T14:18:28.759Z
booobsas,$100 ➡️ $1M,SOL,short,20,77.597169261531,79.549,1.7024910825523987,0.0100330925,79.56095545840981,,,zpDXpJJiVe,67d468d5-64ad-4263-856e-76cf330faa69,2026-08-19T12:47:58.752Z,79.549,2026-08-19T14:54:02.194Z,2026-08-19T14:54:02.194Z
booobsas,$100 ➡️ $1M,ETH,short,25,1921.5601334731693,1958,3.002172290093123,0.0197927925,1961.259444478283,,,zjkdp6CA7k,89a3484f-efce-49c0-9b1b-28e8251a43cc,2026-08-19T12:46:41.577Z,1958,2026-08-19T14:55:18.988Z,2026-08-19T14:55:18.988Z
booobsas,$100 ➡️ $1M,BTC,short,40,65014.511520986445,65887,2.9806389340354023,0.0185699899,65883.4080528024,,,7kxYEMuYDL,e57f1fdf-3d77-4462-8b48-7dfb790d900d,2026-08-19T14:11:11.123Z,65887,2026-08-19T14:55:38.247Z,2026-08-19T14:55:38.247Z
booobsas,$100 ➡️ $1M,SUI,long,10,0.65653,0.68044,0.5000019105216806,0.0071853716,0.6219852631578948,,,TCrAV0SxnV,1b0b0af6-f0ab-4785-aa92-1a8cc3ec2fbf,2026-08-19T09:51:07.968Z,0.68044,2026-08-19T15:07:13.373Z,2026-08-19T15:07:13.373Z
booobsas,$100 ➡️ $1M,BTC,short,40,66462,67182,0.09992427672600862,0.0005734738,67285.55555555556,,,P1eR6t9rpl,0563868b-94c7-48f5-9bc7-88565d9ed349,2026-08-19T15:11:08.076Z,67182,2026-08-19T15:26:30.434Z,2026-08-19T15:26:30.434Z
booobsas,$100 ➡️ $1M,kBONK,short,10,0.002386,0.002369,0.10002331407377497,0.0010656939,0.002499619047619048,,,6X4KQPuxCa,da64e01c-0305-40ca-b77a-e75fb65b7b15,2026-08-19T16:00:59.740Z,0.002369,2026-08-19T17:19:07.806Z,2026-08-19T17:19:07.806Z
booobsas,$100 ➡️ $1M,HYPE,short,10,61.865,64.217,0.09999688735777275,0.0006125965,64.83609523809525,,,z67tyJ4qrj,301ca023-b0f7-436d-a171-dca65d34ec45,2026-08-19T16:02:19.932Z,64.217,2026-08-19T19:13:01.576Z,2026-08-19T19:13:01.576Z
booobsas,$100 ➡️ $1M,TRUMP,short,10,1.44975,1.5156,0.10000265368158484,0.000551377,1.518838095238095,,,nvl1bEGand,d1dc5239-d962-4291-b34f-e8e5b0c1ec66,2026-08-19T18:04:08.491Z,1.5156,2026-08-19T20:14:28.321Z,2026-08-19T20:14:28.321Z
booobsas,$100 ➡️ $1M,ETH,short,13,2102.8446993196176,2229.3,1.0996740627200132,0.0029166838,2226.864669524157,,,rCL3FSjtoO,685985a9-cc21-4441-bdbf-6285af2a343f,2026-08-19T20:30:50.094Z,2229.3,2026-08-19T20:51:31.824Z,2026-08-19T20:51:31.824Z
booobsas,$100 ➡️ $1M,FARTCOIN,short,10,0.14865997082557372,0.15598,3.4998976964043345,0.0257514013,0.15622021308764472,,,64uVtthHAb,f117566c-1626-46b9-875f-1e3fc354dfe9,2026-08-19T15:45:45.719Z,0.15598,2026-08-19T21:06:17.672Z,2026-08-19T21:06:17.672Z
booobsas,$100 ➡️ $1M,kPEPE,short,10,0.002697,0.002824,0.10003302776827336,0.000555446,0.0028296190476190474,,,Ymesq0H0id,10093d9b-93ea-4807-b10a-2fd605e3469d,2026-08-19T18:07:28.134Z,0.002824,2026-08-19T21:07:34.004Z,2026-08-19T21:07:34.004Z
booobsas,$100 ➡️ $1M,kSHIB,short,10,0.00455,0.00476,0.09982580193670525,0.0005599669,0.004765619047619048,,,brlEfnEjrh,abab9df4-104d-4d45-b393-f293bf0326ca,2026-08-19T16:00:21.267Z,0.00476,2026-08-20T00:11:03.810Z,2026-08-20T00:11:03.810Z
booobsas,$100 ➡️ $1M,SPX,short,5,0.339981583813196,0.37247,1.6990138670944308,0.0111024003,0.372864292129769,,,Oqb65Tqj5r,5a2f28d4-760f-468e-a9d9-877a29b38053,2026-08-19T16:05:39.839Z,0.37247,2026-08-20T00:27:23.972Z,2026-08-20T00:27:23.972Z
booobsas,$100 ➡️ $1M,TRUMP,short,10,1.68205,1.6592,0.09999787640603455,0.001136372,1.7607857142857144,,,Rmnb1cft7t,367d2940-5ba0-473f-a8e5-24e07aa4f78d,2026-08-20T03:08:44.459Z,1.6592,2026-08-20T03:12:03.527Z,2026-08-20T03:12:03.527Z
booobsas,$100 ➡️ $1M,kBONK,short,10,0.002456,0.002444,0.09999204624277047,0.001051349,0.0025823809523809528,,,OrxL9N8bjy,7f67f462-1d11-43eb-a202-ef5f77cc0578,2026-08-20T03:09:53.718Z,0.002444,2026-08-20T04:08:27.739Z,2026-08-20T04:08:27.739Z
booobsas,$100 ➡️ $1M,FARTCOIN,short,10,0.1485,0.14755,0.09999812920742715,0.001068082,0.15570761904761907,,,tch13cNwQv,5fbd6e5b-1a15-4eed-9101-6eb2d2bab0d2,2026-08-20T03:14:13.461Z,0.14755,2026-08-20T04:36:06.332Z,2026-08-20T04:36:06.332Z
